Name,Description,Likelihood Of Attack,Prerequisites,Skills Required,Consequences,Mitigations
Embedding NULL Bytes,An adversary embeds one or more null bytes in input to the target software. This attack relies on the usage of a null-valued byte as a string terminator in many environments. The goal is for certain components of the target software to stop processing the input when it encounters the null byte(s).,High,The program does not properly handle postfix NULL terminators,SKILL:Directory traversal:LEVEL:MediumSKILL:Execution of arbitrary code:LEVEL:High,SCOPE:Integrity:TECHNICAL IMPACT:Modify DataSCOPE:Confidentiality:TECHNICAL IMPACT:Read DataSCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain PrivilegesSCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Execute Unauthorized Commands:NOTE:Run Arbitrary Code,Properly handle the NULL characters supplied as part of user input prior to doing anything with the data.
DOM-Based XSS,"This type of attack is a form of Cross-Site Scripting (XSS) where a malicious script is inserted into the client-side HTML being parsed by a web browser. Content served by a vulnerable web application includes script code used to manipulate the Document Object Model (DOM). This script code either does not properly validate input, or does not perform proper output encoding, thus creating an opportunity for an adversary to inject a malicious script launch a XSS attack. A key distinction between other XSS attacks and DOM-based attacks is that in other XSS attacks, the malicious script runs when the vulnerable web page is initially loaded, while a DOM-based attack executes sometime after the page loads. Another distinction of DOM-based attacks is that in some cases, the malicious script is never sent to the vulnerable web server at all. An attack like this is guaranteed to bypass any server-side filtering attempts to protect users.",High,An application that leverages a client-side web browser with scripting enabled.An application that manipulates the DOM via client-side scripting.An application that failS to adequately sanitize or encode untrusted input.,SKILL:Requires the ability to write scripts of some complexity and to inject it through user controlled fields in the system.:LEVEL:Medium,"SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data:NOTE:A successful DOM-based XSS attack can enable an adversary to exfiltrate sensitive information from the application.SCOPE:Confidentiality:SCOPE:Authorization:SCOPE:Access Control:TECHNICAL IMPACT:Gain Privileges:NOTE:A successful DOM-based XSS attack can enable an adversary to elevate their privilege level and access functionality they should not otherwise be allowed to access.SCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Execute Unauthorized Commands:NOTE:A successful DOM-based XSS attack can enable an adversary run arbitrary code of their choosing, thus enabling a complete compromise of the application.SCOPE:Integrity:TECHNICAL IMPACT:Modify Data:NOTE:A successful DOM-based XSS attack can allow an adversary to tamper with application data.",Use browser technologies that do not allow client-side scripting.Utilize proper character encoding for all output produced within client-site scripts manipulating the DOM.Ensure that all user-supplied input is validated before use.
Session Credential Falsification through Prediction,This attack targets predictable session ID in order to gain privileges. The attacker can predict the session ID used during a transaction to perform spoofing and session hijacking.,High,"The target host uses session IDs to keep track of the users.Session IDs are used to control access to resources.The session IDs used by the target host are predictable. For example, the session IDs are generated using predictable information (e.g., time).",SKILL:There are tools to brute force session ID. Those tools require a low level of knowledge.:LEVEL:LowSKILL:Predicting Session ID may require more computation work which uses advanced analysis such as statistical analysis.:LEVEL:Medium,SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain Privileges,"Use a strong source of randomness to generate a session ID.Use adequate length session IDsDo not use information available to the user in order to generate session ID (e.g., time).Ideas for creating random numbers are offered by Eastlake [RFC1750]Encrypt the session ID if you expose it to the user. For instance session ID can be stored in a cookie in encrypted format."
Session Hijacking,This type of attack involves an adversary that exploits weaknesses in an application's use of sessions in performing authentication. The adversary is able to steal or manipulate an active session and use it to gain unathorized access to the application.,High,An application that leverages sessions to perform authentication.,SKILL:Exploiting a poorly protected identity token is a well understood attack with many helpful resources available.:LEVEL:Low,SCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Gain Privileges:NOTE:A successful attack can enable an adversary to gain unauthorized access to an application.,"Properly encrypt and sign identity tokens in transit, and use industry standard session key generation mechanisms that utilize high amount of entropy to generate the session key. Many standard web and application servers will perform this task on your behalf. Utilize a session timeout for all sessions. If the user does not explicitly logout, terminate their session after this period of inactivity. If the user logs back in then a new session key should be generated."
Credential Stuffing,"An adversary tries known username/password combinations against different systems, applications, or services to gain additional authenticated access. Credential Stuffing attacks rely upon the fact that many users leverage the same username/password combination for multiple systems, applications, and services.",High,"The system/application uses one factor password based authentication, SSO, and/or cloud-based authentication.The system/application does not have a sound password policy that is being enforced.The system/application does not implement an effective password throttling mechanism.The adversary possesses a list of known user accounts and corresponding passwords that may exist on the target.",SKILL:A Credential Stuffing attack is very straightforward.:LEVEL:Low,SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authentication:TECHNICAL IMPACT:Gain PrivilegesSCOPE:Confidentiality:SCOPE:Authorization:TECHNICAL IMPACT:Read DataSCOPE:Integrity:TECHNICAL IMPACT:Modify Data,"Leverage multi-factor authentication for all authentication services and prior to granting an entity access to the domain network.Create a strong password policy and ensure that your system enforces this policy.Ensure users are not reusing username/password combinations for multiple systems, applications, or services.Do not reuse local administrator account credentials across systems.Deny remote use of local admin credentials to log into domain systems.Do not allow accounts to be a local administrator on more than one system.Implement an intelligent password throttling mechanism. Care must be taken to assure that these mechanisms do not excessively enable account lockout attacks such as CAPEC-2.Monitor system and domain logs for abnormal credential access."
Session Fixation,"The attacker induces a client to establish a session with the target software using a session identifier provided by the attacker. Once the user successfully authenticates to the target software, the attacker uses the (now privileged) session identifier in their own transactions. This attack leverages the fact that the target software either relies on client-generated session identifiers or maintains the same session identifiers after privilege elevation.",Medium,Session identifiers that remain unchanged when the privilege levels change.Permissive session management mechanism that accepts random user-generated session identifiersPredictable session identifiers,SKILL:Only basic skills are required to determine and fixate session identifiers in a user's browser. Subsequent attacks may require greater skill levels depending on the attackers' motives.:LEVEL:Low,SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain Privileges,"Use a strict session management mechanism that only accepts locally generated session identifiers: This prevents attackers from fixating session identifiers of their own choice.Regenerate and destroy session identifiers when there is a change in the level of privilege: This ensures that even though a potential victim may have followed a link with a fixated identifier, a new one is issued when the level of privilege changes.Use session identifiers that are difficult to guess or brute-force: One way for the attackers to obtain valid session identifiers is by brute-forcing or guessing them. By choosing session identifiers that are sufficiently random, brute-forcing or guessing becomes very difficult."
Cross-Site Scripting (XSS),"An adversary embeds malicious scripts in content that will be served to web browsers. The goal of the attack is for the target software, the client-side browser, to execute the script with the users' privilege level. An attack of this type exploits a programs' vulnerabilities that are brought on by allowing remote hosts to execute code and scripts. Web browsers, for example, have some simple security controls in place, but if a remote attacker is allowed to execute scripts (through injecting them in to user-generated content like bulletin boards) then these controls may be bypassed. Further, these attacks are very difficult for an end user to detect.",High,"Target client software must be a client that allows scripting communication from remote hosts, such as a JavaScript-enabled Web Browser.","SKILL:To achieve a redirection and use of less trusted source, an attacker can simply place a script in bulletin board, blog, wiki, or other user-generated content site that are echoed back to other client machines.:LEVEL:LowSKILL:Exploiting a client side vulnerability to inject malicious scripts into the browser's executable process.:LEVEL:High",SCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Execute Unauthorized Commands:NOTE:Run Arbitrary CodeSCOPE:Integrity:TECHNICAL IMPACT:Modify DataSCOPE:Confidentiality:TECHNICAL IMPACT:Read Data,"Design: Use browser technologies that do not allow client side scripting.Design: Utilize strict type, character, and encoding enforcementDesign: Server side developers should not proxy content via XHR or other means, if a http proxy for remote content is setup on the server side, the client's browser has no way of discerning where the data is originating from.Implementation: Ensure all content that is delivered to client is sanitized against an acceptable content specification.Implementation: Perform input validation for all remote content.Implementation: Perform output validation for all remote content.Implementation: Session tokens for specific hostImplementation: Patching software. There are many attack vectors for XSS on the client side and the server side. Many vulnerabilities are fixed in service packs for browser, web servers, and plug in technologies, staying current on patch release that deal with XSS countermeasures mitigates this."
SQL Injection,"This attack exploits target software that constructs SQL statements based on user input. An attacker crafts input strings so that when the target software constructs SQL statements based on the input, the resulting SQL statement performs actions other than those the application intended. SQL Injection results from failure of the application to appropriately validate input.",High,"SQL queries used by the application to store, retrieve or modify data.User-controllable input that is not properly validated by the application as part of SQL queries.","SKILL:It is fairly simple for someone with basic SQL knowledge to perform SQL injection, in general. In certain instances, however, specific knowledge of the database employed may be required.:LEVEL:Low",SCOPE:Integrity:TECHNICAL IMPACT:Modify DataSCOPE:Confidentiality:TECHNICAL IMPACT:Read DataSCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Execute Unauthorized Commands:NOTE:Run Arbitrary CodeSCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain Privileges,"Strong input validation - All user-controllable input must be validated and filtered for illegal characters as well as SQL content. Keywords such as UNION, SELECT or INSERT must be filtered in addition to characters such as a single-quote(') or SQL-comments (--) based on the context in which they appear.Use of parameterized queries or stored procedures - Parameterization causes the input to be restricted to certain domains, such as strings or integers, and any input outside such domains is considered invalid and the query fails. Note that SQL Injection is possible even in the presence of stored procedures if the eventual query is constructed dynamically.Use of custom error pages - Attackers can glean information about the nature of queries from descriptive error messages. Input validation must be coupled with customized error pages that inform about an error without disclosing information about the database or application."
Adversary in the Browser (AiTB),"An adversary exploits security vulnerabilities or inherent functionalities of a web browser, in order to manipulate traffic between two endpoints.",High,"The adversary must install or convince a user to install a Trojan.There are two components communicating with each other.An attacker is able to identify the nature and mechanism of communication between the two target components.Strong mutual authentication is not used between the two target components yielding opportunity for adversarial interposition.For browser pivoting, the SeDebugPrivilege and a high-integrity process must both exist to execute this attack.","SKILL:Tricking the victim into installing the Trojan is often the most difficult aspect of this attack. Afterwards, the remainder of this attack is fairly trivial.:LEVEL:Medium",SCOPE:Integrity:TECHNICAL IMPACT:Modify DataSCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain PrivilegesSCOPE:Confidentiality:TECHNICAL IMPACT:Read Data,"Ensure software and applications are only downloaded from legitimate and reputable sources, in addition to conducting integrity checks on the downloaded component.Leverage anti-malware tools, which can detect Trojan Horse malware.Use strong, out-of-band mutual authentication to always fully authenticate both ends of any communications channel.Limit user permissions to prevent browser pivoting.Ensure browser sessions are regularly terminated and when their effective lifetime ends."
Blind SQL Injection,"Blind SQL Injection results from an insufficient mitigation for SQL Injection. Although suppressing database error messages are considered best practice, the suppression alone is not sufficient to prevent SQL Injection. Blind SQL Injection is a form of SQL Injection that overcomes the lack of error messages. Without the error messages that facilitate SQL Injection, the adversary constructs input strings that probe the target through simple Boolean SQL expressions. The adversary can determine if the syntax and structure of the injection was successful based on whether the query was executed or not. Applied iteratively, the adversary determines how and where the target is vulnerable to SQL Injection.",High,"SQL queries used by the application to store, retrieve or modify data.User-controllable input that is not properly validated by the application as part of SQL queries.","SKILL:Determining the database type and version, as well as the right number and type of parameters to the query being injected in the absence of error messages requires greater skill than reverse-engineering database error messages.:LEVEL:Medium",SCOPE:Integrity:TECHNICAL IMPACT:Modify DataSCOPE:Confidentiality:TECHNICAL IMPACT:Read DataSCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Execute Unauthorized Commands:NOTE:Run Arbitrary Code,"Security by Obscurity is not a solution to preventing SQL Injection. Rather than suppress error messages and exceptions, the application must handle them gracefully, returning either a custom error page or redirecting the user to a default page, without revealing any information about the database or the application internals.Strong input validation - All user-controllable input must be validated and filtered for illegal characters as well as SQL content. Keywords such as UNION, SELECT or INSERT must be filtered in addition to characters such as a single-quote(') or SQL-comments (--) based on the context in which they appear."
Using Unicode Encoding to Bypass Validation Logic,An attacker may provide a Unicode string to a system component that is not Unicode aware and use that to circumvent the filter or cause the classifying mechanism to fail to properly understanding the request. That may allow the attacker to slip malicious data past the content filter and/or possibly cause the application to route the request incorrectly.,Medium,Filtering is performed on data that has not be properly canonicalized.,SKILL:An attacker needs to understand Unicode encodings and have an idea (or be able to find out) what system components may not be Unicode aware.:LEVEL:Medium,SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection MechanismSCOPE:Confidentiality:SCOPE:Integrity:SCOPE:Availability:TECHNICAL IMPACT:Execute Unauthorized Commands:NOTE:Run Arbitrary CodeSCOPE:Integrity:TECHNICAL IMPACT:Modify DataSCOPE:Availability:TECHNICAL IMPACT:Unreliable Execution,Ensure that the system is Unicode aware and can properly process Unicode data. Do not make an assumption that data will be in ASCII.Ensure that filtering or input validation is applied to canonical data.Assume all input is malicious. Create an allowlist that defines all valid input to the software system based on the requirements specifications. Input that does not match against the allowlist should not be permitted to enter into the system.
XPath Injection,"An attacker can craft special user-controllable input consisting of XPath expressions to inject the XML database and bypass authentication or glean information that they normally would not be able to. XPath Injection enables an attacker to talk directly to the XML database, thus bypassing the application completely. XPath Injection results from the failure of an application to properly sanitize input used as part of dynamic XPath expressions used to query an XML database.",High,XPath queries used to retrieve information stored in XML documentsUser-controllable input not properly sanitized before being used as part of XPath queries,SKILL:XPath Injection shares the same basic premises with SQL Injection. An attacker must have knowledge of XPath syntax and constructs in order to successfully leverage XPath Injection:LEVEL:Low,SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain PrivilegesSCOPE:Confidentiality:TECHNICAL IMPACT:Read Data,"Strong input validation - All user-controllable input must be validated and filtered for illegal characters as well as content that can be interpreted in the context of an XPath expression. Characters such as a single-quote(') or operators such as or (|), and (&) and such should be filtered if the application does not expect them in the context in which they appear. If such content cannot be filtered, it must at least be properly escaped to avoid them being interpreted as part of XPath expressions.Use of parameterized XPath queries - Parameterization causes the input to be restricted to certain domains, such as strings or integers, and any input outside such domains is considered invalid and the query fails.Use of custom error pages - Attackers can glean information about the nature of queries from descriptive error messages. Input validation must be coupled with customized error pages that inform about an error without disclosing information about the database or application."
Forceful Browsing,"An attacker employs forceful browsing (direct URL entry) to access portions of a website that are otherwise unreachable. Usually, a front controller or similar design pattern is employed to protect access to portions of a web application. Forceful browsing enables an attacker to access information, perform privileged operations and otherwise reach sections of the web application that have been improperly protected.",High,The forcibly browseable pages or accessible resources must be discoverable and improperly protected.,SKILL:Forcibly browseable pages can be discovered by using a number of automated tools. Doing the same manually is tedious but by no means difficult.:LEVEL:Low,SCOPE:Confidentiality:TECHNICAL IMPACT:Read DataSCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism,"Authenticate request to every resource. In addition, every page or resource must ensure that the request it is handling has been made in an authorized context.Forceful browsing can also be made difficult to a large extent by not hard-coding names of application pages or resources. This way, the attacker cannot figure out, from the application alone, the resources available from the present context."
Adversary in the Middle (AiTM),"An adversary targets the communication between two components (typically client and server), in order to alter or obtain data from transactions. A general approach entails the adversary placing themself within the communication channel between the two components.",High,There are two components communicating with each other.An attacker is able to identify the nature and mechanism of communication between the two target components.An attacker can eavesdrop on the communication between the target components.Strong mutual authentication is not used between the two target components yielding opportunity for attacker interposition.The communication occurs in clear (not encrypted) or with insufficient and spoofable encryption.,SKILL:This attack can get sophisticated since the attack may use cryptography.:LEVEL:Medium,SCOPE:Integrity:TECHNICAL IMPACT:Modify DataSCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain PrivilegesSCOPE:Confidentiality:TECHNICAL IMPACT:Read Data,"Ensure Public Keys are signed by a Certificate AuthorityEncrypt communications using cryptography (e.g., SSL/TLS)Use Strong mutual authentication to always fully authenticate both ends of any communications channel.Exchange public keys using a secure channel"
Cryptanalysis,"Cryptanalysis is a process of finding weaknesses in cryptographic algorithms and using these weaknesses to decipher the ciphertext without knowing the secret key (instance deduction). Sometimes the weakness is not in the cryptographic algorithm itself, but rather in how it is applied that makes cryptanalysis successful. An attacker may have other goals as well, such as: Total Break (finding the secret key), Global Deduction (finding a functionally equivalent algorithm for encryption and decryption that does not require knowledge of the secret key), Information Deduction (gaining some information about plaintexts or ciphertexts that was not previously known) and Distinguishing Algorithm (the attacker has the ability to distinguish the output of the encryption (ciphertext) from a random permutation of bits).",Low,The target software utilizes some sort of cryptographic algorithm.An underlying weaknesses exists either in the cryptographic algorithm used or in the way that it was applied to a particular chunk of plaintext.The encryption algorithm is known to the attacker.An attacker has access to the ciphertext.,SKILL:Cryptanalysis generally requires a very significant level of understanding of mathematics and computation.:LEVEL:High,"SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data:NOTE:In most cases, if cryptanalysis is successful at all, an adversary will not be able to decrypt the entire message, but instead will only be able to deduce some information about the plaintext. However, that may be sufficient for an adversary, depending on the context of the attack.",Use proven cryptographic algorithms with recommended key sizes.Ensure that the algorithms are used properly. That means: 1. Not rolling out your own crypto; Use proven algorithms and implementations. 2. Choosing initialization vectors with sufficiently random numbers 3. Generating key material using good sources of randomness and avoiding known weak keys 4. Using proven protocols and their implementations. 5. Picking the most appropriate cryptographic algorithm for your usage context and data
Exploitation of Transient Instruction Execution,"An adversary exploits a hardware design flaw in a CPU implementation of transient instruction execution to expose sensitive data and bypass/subvert access control over restricted resources. Typically, the adversary conducts a covert channel attack to target non-discarded microarchitectural changes caused by transient executions such as speculative execution, branch prediction, instruction pipelining, and/or out-of-order execution. The transient execution results in a series of instructions (gadgets) which construct covert channel and access/transfer the secret data.",Low,The adversary needs at least user execution access to a system and a maliciously crafted program/application/process with unprivileged code to misuse transient instruction set execution of the CPU.,"SKILL:Detailed knowledge on how various CPU architectures and microcode perform transient execution for various low-level assembly language code instructions/operations.:LEVEL:HighSKILL:Detailed knowledge on compiled binaries and operating system shared libraries of instruction sequences, and layout of application and OS/Kernel address spaces for data leakage.:LEVEL:High",SCOPE:Confidentiality:TECHNICAL IMPACT:Read DataSCOPE:Access Control:TECHNICAL IMPACT:Bypass Protection MechanismSCOPE:Authorization:TECHNICAL IMPACT:Execute Unauthorized Commands,Implementation: DAWG (Dynamically Allocated Way Guard) - processor cache properly divided between different programs/processes that don't share resourcesImplementation: KPTI (Kernel Page-Table Isolation) to completely separate user-space and kernel space page tablesConfiguration: Architectural Design of Microcode to limit abuse of speculative execution and out-of-order executionConfiguration: Disable SharedArrayBuffer for Web BrowsersConfiguration: Disable Copy-on-Write between Cloud VMsConfiguration: Privilege Checks on Cache Flush InstructionsImplementation: Non-inclusive Cache Memories to prevent Flush+Reload Attacks
Alteration of a Software Update,"An adversary with access to an organization’s software update infrastructure inserts malware into the content of an outgoing update to fielded systems where a wide range of malicious effects are possible. With the same level of access, the adversary can alter a software update to perform specific malicious acts including granting the adversary control over the software’s normal functionality.",Medium,An adversary would need to have penetrated an organization’s software update infrastructure including gaining access to components supporting the configuration management of software versions and updates related to the software maintenance of customer systems.,"SKILL:Skills required include the ability to infiltrate the organization’s software update infrastructure either from the Internet or from within the organization, including subcontractors, and be able to change software being delivered to customer/user systems in an undetected manner.:LEVEL:High",SCOPE:Access Control:TECHNICAL IMPACT:Gain PrivilegesSCOPE:Authorization:TECHNICAL IMPACT:Execute Unauthorized CommandsSCOPE:Integrity:TECHNICAL IMPACT:Modify DataSCOPE:Confidentiality:TECHNICAL IMPACT:Read Data,"Have a Software Assurance Plan that includes maintaining strict configuration management control of source code, object code and software development, build and distribution tools; manual code reviews and static code analysis for developmental software; and tracking of all storage and movement of code.Require elevated privileges for distribution of software and software updates."
Software Development Tools Maliciously Altered,"An adversary with the ability to alter tools used in a development environment causes software to be developed with maliciously modified tools. Such tools include requirements management and database tools, software design tools, configuration management tools, compilers, system build tools, and software performance testing and load testing tools. The adversary then carries out malicious acts once the software is deployed including malware infection of other systems to support further compromises.",Low,"An adversary would need to have access to a targeted developer’s development environment and in particular to tools used to design, create, test and manage software, where the adversary could ensure malicious code is included in software packages built through alteration or substitution of tools in the environment used in the development of software.","SKILL:Ability to leverage common delivery mechanisms (e.g., email attachments, removable media) to infiltrate a development environment to gain access to software development tools for the purpose of malware insertion into an existing tool or replacement of an existing tool with a maliciously altered copy.:LEVEL:High",SCOPE:Integrity:TECHNICAL IMPACT:Execute Unauthorized CommandsSCOPE:Access Control:TECHNICAL IMPACT:Gain PrivilegesSCOPE:Confidentiality:TECHNICAL IMPACT:Modify Data:TECHNICAL IMPACT:Read Data,"Have a security concept of operations (CONOPS) for the development environment that includes: Maintaining strict security administration and configuration management of requirements management and database tools, software design tools, configuration management tools, compilers, system build tools, and software performance testing and load testing tools.Avoid giving elevated privileges to developers."
Requirements for ASIC Functionality Maliciously Altered,"An adversary with access to functional requirements for an application specific integrated circuit (ASIC), a chip designed/customized for a singular particular use, maliciously alters requirements derived from originating capability needs. In the chip manufacturing process, requirements drive the chip design which, when the chip is fully manufactured, could result in an ASIC which may not meet the user’s needs, contain malicious functionality, or exhibit other anomalous behaviors thereby affecting the intended use of the ASIC.",Low,"An adversary would need to have access to a foundry’s or chip maker’s requirements management system that stores customer requirements for ASICs, requirements upon which the design of the ASIC is based.",SKILL:An adversary would need experience in designing chips based on functional requirements in order to manipulate requirements in such a way that deviations would not be detected in subsequent stages of ASIC manufacture and where intended malicious functionality would be available to the adversary once integrated into a system and fielded.:LEVEL:High,SCOPE:Integrity:TECHNICAL IMPACT:Alter Execution Logic,"Utilize DMEA’s (Defense Microelectronics Activity) Trusted Foundry Program members for acquisition of microelectronic components.Ensure that each supplier performing hardware development implements comprehensive, security-focused configuration management including for hardware requirements and design.Require that provenance of COTS microelectronic components be known whenever procured.Conduct detailed vendor assessment before acquiring COTS hardware."
Malicious Code Implanted During Chip Programming,"During the programming step of chip manufacture, an adversary with access and necessary technical skills maliciously alters a chip’s intended program logic to produce an effect intended by the adversary when the fully manufactured chip is deployed and in operational use. Intended effects can include the ability of the adversary to remotely control a host system to carry out malicious acts.",Low,"An adversary would need to have access to a foundry’s or chip maker’s development/production environment where programs for specific chips are developed, managed and uploaded into targeted chips prior to distribution or sale.","SKILL:An adversary needs to be skilled in microprogramming, manipulation of configuration management systems, and in the operation of tools used for the uploading of programs into chips during manufacture. Uploading can be for individual chips or performed on a large scale basis.:LEVEL:Medium",SCOPE:Integrity:TECHNICAL IMPACT:Alter Execution Logic,"Utilize DMEA’s (Defense Microelectronics Activity) Trusted Foundry Program members for acquisition of microelectronic components.Ensure that each supplier performing hardware development implements comprehensive, security-focused configuration management of microcode and microcode generating tools and software.Require that provenance of COTS microelectronic components be known whenever procured.Conduct detailed vendor assessment before acquiring COTS hardware."
Developer Signing Maliciously Altered Software,"Software produced by a reputable developer is clandestinely infected with malicious code and then digitally signed by the unsuspecting developer, where the software has been altered via a compromised software development or build process prior to being signed. The receiver or user of the software has no reason to believe that it is anything but legitimate and proceeds to deploy it to organizational systems. This attack differs from CAPEC-206, since the developer is inadvertently signing malicious code they believe to be legitimate and which they are unware of any malicious modifications.",Medium,"An adversary would need to have access to a targeted developer’s software development environment, including to their software build processes, where the adversary could ensure code maliciously tainted prior to a build process is included in software packages built.","SKILL:The adversary must have the skills to infiltrate a developer’s software development/build environment and to implant malicious code in developmental software code, a build server, or a software repository containing dependency code, which would be referenced to be included during the software build process.:LEVEL:High",SCOPE:Integrity:SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data:TECHNICAL IMPACT:Modify DataSCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain Privileges:TECHNICAL IMPACT:Execute Unauthorized Commands,"Have a security concept of operations (CONOPS) for the IDE that includes: Protecting the IDE via logical isolation using firewall and DMZ technologies/architectures; Maintaining strict security administration and configuration management of configuration management tools, developmental software and dependency code repositories, compilers, and system build tools.Employ intrusion detection and malware detection capabilities on IDE systems where feasible."
Design for FPGA Maliciously Altered,"An adversary alters the functionality of a field-programmable gate array (FPGA) by causing an FPGA configuration memory chip reload in order to introduce a malicious function that could result in the FPGA performing or enabling malicious functions on a host system. Prior to the memory chip reload, the adversary alters the program for the FPGA by adding a function to impact system operation.",Low,An adversary would need to have access to FPGA programming/configuration-related systems in a chip maker’s development environment where FPGAs can be initially configured prior to delivery to a customer or have access to such systems in a customer facility where end-user FPGA configuration/reconfiguration can be performed.,"SKILL:An adversary would need to be skilled in FPGA programming in order to create/manipulate configurations in such a way that when loaded into an FPGA, the end user would be able to observe through testing all user-defined required functions but would be unaware of any additional functions the adversary may have introduced.:LEVEL:High",SCOPE:Integrity:TECHNICAL IMPACT:Alter Execution Logic,"Utilize DMEA’s (Defense Microelectronics Activity) Trusted Foundry Program members for acquisition of microelectronic components.Ensure that each supplier performing hardware development implements comprehensive, security-focused configuration management including for FPGA programming and program uploads to FPGA chips.Require that provenance of COTS microelectronic components be known whenever procured.Conduct detailed vendor assessment before acquiring COTS hardware."
Retrieve Data from Decommissioned Devices,"An adversary obtains decommissioned, recycled, or discarded systems and devices that can include an organization’s intellectual property, employee data, and other types of controlled information. Systems and devices that have reached the end of their lifecycles may be subject to recycle or disposal where they can be exposed to adversarial attempts to retrieve information from internal memory chips and storage devices that are part of the system.",Medium,"An adversary needs to have access to electronic data processing equipment being recycled or disposed of (e.g., laptops, servers) at a collection location and the ability to take control of it for the purpose of exploiting its content.","SKILL:An adversary may need the ability to mount printed circuit boards and target individual chips for exploitation.:LEVEL:HighSKILL:An adversary needs the technical skills required to extract solid state drives, hard disk drives, and other storage media to host on a compatible system or harness to gain access to digital content.:LEVEL:Medium",SCOPE:Accountability:TECHNICAL IMPACT:Bypass Protection Mechanism,"Backup device data before erasure to retain intellectual property and inside knowledge.Overwrite data on device rather than deleting. Deleted data can still be recovered, even if the device trash can is emptied. Rewriting data removes any trace of the old data. Performing multiple overwrites followed by a zeroing of the device (overwriting with all zeros) is good practice.Use a secure erase software.Physically destroy the device if it is not intended to be reused. Using a specialized service to disintegrate, burn, melt or pulverize the device can be effective, but if those services are inaccessible, drilling nails or holes, or smashing the device with a hammer can be effective. Do not burn, microwave, or pour acid on a hard drive.Physically destroy memory and SIM cards for mobile devices not intended to be reused.Ensure that the user account has been terminated or switched to a new device before destroying."
Metadata Spoofing,"An adversary alters the metadata of a resource (e.g., file, directory, repository, etc.) to present a malicious resource as legitimate/credible.",Medium,Identification of a resource whose metadata is to be spoofed,SKILL:Ability to spoof a variety of metadata to convince victims the source is trusted:LEVEL:Medium,SCOPE:Integrity:TECHNICAL IMPACT:Modify DataSCOPE:Accountability:TECHNICAL IMPACT:Hide ActivitiesSCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Execute Unauthorized Commands,"Validate metadata of resources such as authors, timestamps, and statistics.Confirm the pedigree of open source packages and ensure the code being downloaded does not originate from another source.Even if the metadata is properly checked and a user believes it to be legitimate, there may still be a chance that they've been duped. Therefore, leverage automated testing techniques to determine where malicious areas of the code may exist."
Spoof Open-Source Software Metadata,"An adversary spoofs open-source software metadata in an attempt to masquerade malicious software as popular, maintained, and trusted.",Medium,Identification of a popular open-source component whose metadata is to be spoofed.,SKILL:Ability to spoof a variety of software metadata to convince victims the source is trusted.:LEVEL:Medium,SCOPE:Integrity:TECHNICAL IMPACT:Modify DataSCOPE:Accountability:TECHNICAL IMPACT:Hide ActivitiesSCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Execute Unauthorized Commands:TECHNICAL IMPACT:Alter Execution Logic:TECHNICAL IMPACT:Gain Privileges,"Before downloading open-source software, perform precursory metadata checks to determine the author(s), frequency of updates, when the software was last updated, and if the software is widely leveraged.Within package managers, look for conflicting or non-unique repository references to determine if multiple packages share the same repository reference.Reference vulnerability databases to determine if the software contains known vulnerabilities.Only download open-source software from reputable hosting sites or package managers.Only download open-source software that has been adequately signed by the developer(s). For repository commits/tags, look for the Verified status and for developers leveraging Vigilant Mode (GitHub) or similar modes.After downloading open-source software, ensure integrity values have not changed.Before executing or incorporating the software, leverage automated testing techniques (e.g., static and dynamic analysis) to determine if the software behaves maliciously."
